Date,Petrol 92,Diesel,$ - LKR,Crude $
1990-03-01,20.0,9.6,40.02,20.28
1990-08-14,25.0,11.0,39.94,27.32
1990-11-05,35.0,13.0,40.31,28.85
1990-12-26,30.0,11.0,40.24,28.44
1991-01-01,30.0,11.0,40.4,21.54
1992-05-13,30.0,11.5,43.47,22.11
1992-06-28,30.0,11.5,44.17,21.6
1992-07-14,30.0,11.55,44.2,21.87
1992-08-21,33.0,11.55,44.0,21.48
1992-10-03,33.0,11.6,44.34,20.62
1992-12-21,33.0,11.65,46.1,19.5
1993-06-07,33.0,11.7,48.2,18.85
1993-06-11,33.0,11.7,48.2,18.85
1993-07-12,33.0,11.8,48.75,17.88
1993-08-30,33.0,11.9,48.88,18.29
1993-10-14,35.0,12.0,49.05,16.92
1993-12-17,35.0,12.2,49.3,14.17
1994-02-17,35.0,12.3,48.95,14.48
1994-03-28,35.0,12.4,48.8,14.79
1994-06-28,35.0,11.4,49.09,19.37
1995-01-26,40.0,11.4,49.96,18.39
1995-02-09,40.0,12.4,49.88,18.49
1996-09-28,50.0,13.2,56.6,24.38
1999-05-26,50.0,13.2,70.85,16.84
2000-02-07,50.0,16.2,73.475,30.43
2000-06-12,50.0,19.5,78.9,32.5
2000-11-16,50.0,21.5,81.45,33.82
2000-12-27,50.0,24.5,82.7,26.8
2001-04-15,50.0,27.5,90.45,28.46
2001-11-15,50.0,27.5,93.15,19.44
2001-12-28,50.0,16.5,93.0,19.84
2002-02-25,49.0,26.0,93.6,21.74
2002-03-22,50.0,26.0,95.6,26.31
2002-04-22,52.0,28.0,96.05,27.29
2002-05-21,54.0,30.0,96.15,25.31
2002-06-21,54.5,30.5,96.15,26.86
2002-07-15,47.5,27.5,96.08,27.02
2002-07-29,47.5,27.5,96.08,27.02
2002-08-15,47.5,28.0,96.2,28.98
2002-09-16,47.5,28.5,96.25,30.45
2002-10-15,49.0,30.0,96.25,27.22
2002-12-16,49.0,30.0,96.6,31.2
2003-01-16,49.0,30.0,96.8,33.51
2003-02-14,51.0,30.0,96.89,36.6
2003-03-26,53.0,30.0,96.945,31.04
2003-04-25,54.0,30.0,97.13,25.8
2003-05-20,52.0,30.0,97.23,29.56
2003-06-30,52.0,30.0,97.155,30.19
2003-08-07,52.0,30.0,96.83,31.57
2003-09-04,54.0,31.5,94.36,29.2
2003-10-05,52.0,30.5,94.76,29.11
2003-11-11,53.0,31.0,96.425,30.41
2003-12-04,53.0,32.0,96.55,32.52
2004-01-25,55.0,32.0,97.28,33.05
2004-02-12,57.0,32.0,98.585,36.16
2004-07-23,65.0,32.0,103.625,43.8
2004-08-13,68.0,36.0,103.125,42.12
2004-09-25,70.0,44.0,103.58,49.64
2005-05-05,74.0,46.0,99.925,51.97
2005-06-06,80.0,50.0,100.15,56.5
2006-04-16,88.0,58.0,102.8,71.88
2006-04-16,88.0,58.0,102.8,71.88
2006-06-11,93.0,61.0,103.97,73.93
2006-08-02,96.0,64.0,102.19,70.26
2006-10-26,92.0,60.0,108.025,58.73
